occlusion_level,num_samples,accuracy,precision,recall,f1,correct
10%,16,0.5,0.5,0.25,0.3333333333333333,8
70%,16,0.5,0.5,0.5,0.5,8
90%,16,0.5625,0.5333333333333333,1.0,0.6956521739130436,9
