epoch,train_loss,train_acc,val_loss,val_acc,val_f1,learning_rate
1,0.69434840698396,0.4998989898989899,0.6932539343833923,0.5366666666666666,0.4034334763948498,0.0001
2,0.6932631298418968,0.5051515151515151,0.6948209524154663,0.5166666666666667,0.2926829268292683,9.976164397027375e-05
3,0.6927098264617305,0.5164646464646465,0.693078202009201,0.5,0.512987012987013,9.90488713799599e-05
4,0.691100098048487,0.5284848484848484,0.6936689138412475,0.5133333333333333,0.39166666666666666,9.786854661874433e-05
5,0.6886388061508055,0.5445454545454546,0.6882764577865601,0.58,0.4793388429752066,9.623203685930869e-05
6,0.6848787615376134,0.5561616161616162,0.6729070127010346,0.6066666666666667,0.5785714285714286,9.415510258524356e-05
7,0.6809109678191524,0.5708080808080808,0.6687953650951386,0.58,0.5827814569536424,9.165774580897599e-05
8,0.6809963595482611,0.5693939393939393,0.6689083993434906,0.5966666666666667,0.5953177257525084,8.876401744145547e-05
9,0.679141120564553,0.5668686868686869,0.6666774153709412,0.5866666666666667,0.5894039735099338,8.550178566873408e-05
10,0.6800930967254023,0.5790909090909091,0.6709739685058593,0.5833333333333334,0.5614035087719298,8.190246756610044e-05
11,0.6781262880371463,0.5751515151515152,0.6684076666831971,0.5966666666666667,0.5870307167235495,7.800072653447029e-05
12,0.6775956553797569,0.5772727272727273,0.6642357647418976,0.6,0.5918367346938775,7.383413847288688e-05
13,0.6762999175056335,0.582020202020202,0.6673504650592804,0.61,0.5894736842105263,6.944282990207193e-05
14,0.6762313965828188,0.5842424242424242,0.6658906638622284,0.6033333333333334,0.5910652920962199,6.486909152409586e-05
15,0.673841308201513,0.5836363636363636,0.6632533133029938,0.6133333333333333,0.6027397260273972,6.0156970939798334e-05
16,0.6757852329361823,0.583030303030303,0.6614060819149017,0.61,0.5951557093425606,5.535184844631324e-05
17,0.6749038327124811,0.5854545454545454,0.6643520355224609,0.6033333333333334,0.5938566552901023,5.0499999999999974e-05
18,0.6725675398303617,0.59,0.6650250494480133,0.6033333333333334,0.5882352941176471,4.564815155368672e-05
19,0.6728253478004086,0.5864646464646465,0.6694089531898498,0.6133333333333333,0.5886524822695035,4.0843029060201635e-05
20,0.6713929739690596,0.5905050505050505,0.6686130940914154,0.61,0.5894736842105263,3.6130908475904105e-05
21,0.6715585606713449,0.5860606060606061,0.6632678985595704,0.6133333333333333,0.6054421768707483,3.155717009792804e-05
22,0.6705215577156313,0.5924242424242424,0.6672058284282685,0.61,0.6060606060606061,2.7165861527113103e-05
